BN,SCHOOL NAME,PROGRESS REPORT TYPE,2012-2013 PROGRESS REPORT GRADE,2011-2012 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K299,P.S. 299 Thomas Warren Field,EMS,B,A,D,B,B,B,C
K301,Satellite East Middle School,EMS,C,D,B,D,B,B,D
K302,J.H.S. 302 Rafael Cordero,EMS,None,F,C,D,B,D,C
K303,I.S. 303 Herbert S. Eisenberg,EMS,B,A,A,B,A,A,A
K304,Ps 304 Casimir Pulaski,EMS,None,None,None,None,None,None,F
K305,P.S. 305 Dr. Peter Ray,EMS,C,D,C,C,A,C,B
K306,P.S. 306 Ethan Allen,EMS,C,C,F,B,A,C,C
K307,P.S. 307 Daniel Hale Williams,EMS,C,B,C,C,A,B,D
K308,P.S. 308 Clara Cardwell,EMS,A,C,D,C,A,B,B
K309,P.S. 309 The George E. Wibecan Preparatory Academy,EMS,C,C,C,C,B,B,D
K311,Essence School,EMS,C,C,C,B,B,B,C
K312,P.S. 312 Bergen Beach,EMS,C,A,C,C,A,A,C
K313,Satellite West Middle School,EMS,B,A,A,B,B,B,B
K315,P.S. K315,EMS,B,C,B,B,A,B,B
K316,P.S. 316 Elijah Stroud,EMS,A,B,C,A,A,B,D
K318,I.S. 318 Eugenio Maria De Hostos,EMS,C,B,C,C,A,A,B
K321,P.S. 321 William Penn,EMS,A,B,A,A,A,B,B
K323,P.S./I.S. 323,EMS,C,B,A,B,A,B,D
K327,P.S. 327 Dr. Rose B. English,EMS,C,C,C,C,A,C,B
K328,P.S. 328 Phyllis Wheatley,EMS,C,C,D,B,A,B,C
K329,P.S. 329 Surfside,EMS,None,B,B,C,A,B,C
K330,The Urban Assembly School for the Urban Environmen,EMS,B,C,B,C,A,B,A
K332,P.S. 332 Charles H. Houston,EMS,None,None,None,F,C,C,C
K334,Middle School for Academic and Social Excellence,EMS,C,D,C,B,C,C,B
K335,P.S. 335 Granville T. Woods,EMS,D,A,A,B,A,A,C
K336,Academy of Business and Community Development,EMS,None,None,D,D,B,B,C
K340,I.S. 340,EMS,C,C,C,B,B,F,D
K345,P.S. 345 Patrolman Robert Bolden,EMS,B,B,C,B,A,C,C
K346,P.S. 346 Abe Stark,EMS,B,C,C,C,A,B,B
K347,I.S. 347 School of Humanities,EMS,D,C,C,C,A,C,B
K349,"I.S. 349 Math, Science & Tech.",EMS,B,D,C,C,A,B,B
K351,The Urban Assembly Unison School,EMS,None,None,None,None,None,None,None
K352,Ebbets Field Middle School,EMS,C,C,B,B,A,B,B
K353,Elijah Stroud Middle School,EMS,D,C,B,A,A,A,A
K354,The School of Integrated Learning,EMS,A,A,B,A,A,B,B
K355,Williamsburg Collegiate Charter School,EMS,A,A,A,A,A,A,A
K356,Achievement First- Crown Heights Charter School,EMS,C,A,A,C,A,A,B
K357,Kipp Amp (Always Mentally Prepared) Charter School,EMS,C,A,B,C,B,A,A
K358,Achievement First East New York School,EMS,B,B,A,C,A,None,None
K359,The Uft Charter School,EMS,F,D,C,D,B,C,None
K360,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,EMS,None,None,None,None,None,None,None
K362,Hellenic Classical Charter School,EMS,C,A,B,C,A,F,B
K363,Brownsville Collaborative Middle School,EMS,None,None,None,None,None,None,None
K364,I.S. 364 Gateway,EMS,C,C,C,B,A,A,B
K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,EMS,A,C,B,None,None,None,None
K375,P.S. 375 Jackie-Robinson School,EMS,B,C,A,B,A,B,D
K376,P.S. 376,EMS,B,C,C,B,A,A,A
K377,P.S. 377 Alejandrina B. De Gautier,EMS,D,C,F,B,A,B,B
K379,Explore Excel Charter School,EMS,C,None,None,None,None,None,None
K380,P.S. 380 John Wayne Elementary,EMS,A,A,A,A,A,A,B
K381,I. S. 381,EMS,C,C,C,C,B,B,D
K382,Academy for College Preparation and Career Explora,EMS,D,C,B,D,C,A,None
K383,J.H.S. 383 Philippa Schuyler,EMS,C,C,B,C,B,B,C
K384,P.S. /I.S. 384 Frances E. Carter,EMS,B,A,B,A,A,A,A
K385,"School of Business, Finance and Entrepreneurship",EMS,D,B,B,A,A,B,A
K386,Invictus Preparatory Charter School,EMS,B,None,None,None,None,None,None
K392,I.S. 392,EMS,B,C,A,B,A,B,A
K393,Frederick Douglass Academy IV Secondary School,EMS,None,None,F,F,C,C,C
K394,M.S. K394,EMS,B,C,B,C,A,A,C
K397,P.S. 397 Foster-Laurie,EMS,C,C,B,B,A,B,C
K398,P.S. 398 Walter Weaver,EMS,B,F,B,B,A,D,B
K399,P.S. 399 Stanley Eugene Clark,EMS,C,B,B,A,A,A,A
K409,East New York Family Academy,EMS,C,A,A,B,A,A,A
K418,The Children's School,EMS,B,B,A,A,None,None,None
K422,Spring Creek Community School,EMS,None,None,None,None,None,None,None
K429,Brooklyn School for Global Studies,EMS,C,C,B,B,A,C,C
K442,New Horizons School,EMS,A,B,B,B,A,B,C
K443,New Voices School of Academic & Creative Arts,EMS,A,A,A,A,A,A,A
K447,The Math & Science Exploratory School,EMS,B,A,A,A,A,A,A
K448,Brooklyn Secondary School for Collaborative Studie,EMS,C,A,A,B,B,A,A
K452,Frederick Douglass Academy VIII Middle School,EMS,C,B,B,B,A,F,None
K462,Secondary School for Law,EMS,None,None,None,C,A,B,C
K463,Secondary School for Journalism,EMS,None,None,None,C,A,A,A
K464,Secondary School for Research,EMS,C,C,C,B,A,B,B
K468,Kingsborough Early College School,EMS,A,B,B,B,A,A,None
K484,Ronald Edmonds Learning Center II,EMS,B,C,A,C,A,A,None
K492,Urban Assembly Academy of Arts and Letters,EMS,B,C,B,B,B,A,None
K493,Brooklyn Collegiate: A College Board School,EMS,None,None,F,D,B,D,D
K497,School for International Studies,EMS,D,B,C,A,A,C,A
K503,PS 503: The School of Discovery,EMS,B,B,B,B,A,A,None
K506,P.S. 506: The School of Journalism & Technology,EMS,A,B,B,B,A,A,None
K508,Achievement First Endeavor Charter School,EMS,B,A,A,C,A,A,None
K513,East New York Preparatory Charter School,EMS,None,None,None,None,None,None,None
K517,Leadership Prep Charter School,EMS,B,B,B,B,None,None,None
K518,Kappa V,EMS,B,B,A,C,A,C,C
K522,Mott Hall IV,EMS,D,F,F,C,A,C,C
K527,Urban Assembly Institute of Math and Science for Y,EMS,C,D,B,D,C,B,None
K531,"School for Human Rights, The",EMS,B,A,C,B,A,B,F
K533,School for Democracy and Leadership,EMS,D,B,D,C,B,C,F
K534,Upper School @ P.S. 25,EMS,C,D,B,C,B,C,None
K536,Community Roots Charter School,EMS,B,C,C,F,None,None,None
K538,Achievement First Bushwick Charter School,EMS,A,A,A,B,A,None,None
K543,"Science, Technology and Research Early College Hig",EMS,C,B,B,C,B,A,None
K554,All City Leadership Secondary School,EMS,B,C,A,C,A,A,C
K555,Brooklyn College Academy,EMS,A,C,A,B,B,B,D
K562,Evergreen Middle School for Urban Exploration,EMS,None,None,None,None,None,None,None
K571,M.S. 571,EMS,None,None,None,D,B,B,C
K577,Conselyea Preparatory School,EMS,C,A,B,B,A,B,A
K581,East Flatbush Community Research School,EMS,B,C,D,C,A,None,None
K582,M.S. 582,EMS,A,C,D,B,A,D,C
K584,M.S. 584,EMS,C,C,C,C,A,B,B
K586,Lyons Community School,EMS,D,C,B,C,A,None,None
K587,Middle School for the Arts,EMS,None,None,D,C,A,C,C
K588,Middle School for Art and Philosophy,EMS,C,C,C,C,A,None,None
K590,Medgar Evers College Preparatory School,EMS,B,C,C,B,A,C,C
K592,Khalil Gibran International Academy,EMS,None,None,None,C,A,None,None
K593,Excellence Charter School of Bedford Stuyvesant,EMS,B,C,A,C,A,A,None
K596,Knowledge and Power Preparatory Academy VII Middle,EMS,B,F,F,D,C,None,None
K598,Middle School of Marketing and Legal Studies,EMS,C,A,B,C,A,None,None
K608,Kings Collegiate Charter School,EMS,A,B,B,A,A,None,None
K609,Urban Assembly School for Criminal Justice,EMS,A,B,A,B,A,None,None
K614,Young Women's Leadership School of Brooklyn,EMS,C,C,A,C,None,None,None
K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,EMS,A,A,None,None,None,None,None
K627,Brighter Choice Community School,EMS,A,A,None,None,None,None,None
K628,Brooklyn Brownstone School,EMS,B,B,None,None,None,None,None
K631,General D. Chappie James Elementary School of Scie,EMS,None,None,F,D,None,None,None
K634,General D. Chappie James Middle School of Science,EMS,None,D,D,D,None,None,None
K636,Young Scholars' Academy for Discovery and Explorat,EMS,C,A,A,A,None,None,None
K644,Eagle Academy for Young Men II,EMS,C,B,B,A,None,None,None
K648,Bedford Stuyvesant Collegiate Charter School,EMS,B,A,A,A,None,None,None
K649,La Cima Charter School,EMS,C,B,None,None,None,None,None
K651,PAVE Academy Charter School,EMS,B,A,None,None,None,None,None
K652,Brooklyn Ascend Charter School,EMS,D,A,C,None,None,None,None
K671,MOTT HALL BRIDGES MIDDLE SCHOOL,EMS,A,B,None,None,None,None,None
K676,RED HOOK NEIGHBORHOOD SCHOOL,EMS,B,B,C,None,None,None,None
K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,EMS,C,F,C,None,None,None,None
K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,EMS,C,B,B,None,None,None,None
K681,Madiba Prep Middle School,EMS,None,None,None,None,None,None,None
K682,THE ACADEMY OF TALENTED SCHOLARS,EMS,A,None,None,None,None,None,None
K686,BROOKLYN SCHOOL OF INQUIRY,EMS,B,None,None,None,None,None,None
K690,Brooklyn Studio Secondary School,EMS,C,A,B,A,A,A,B
K691,FORT GREENE PREPARATORY ACADEMY,EMS,C,B,None,None,None,None,None
K697,Teachers Preparatory High School,EMS,C,F,B,C,A,A,B
K701,Brooklyn Charter School,EMS,C,A,A,D,C,A,B
K702,Community Partnership Charter,EMS,D,B,B,B,A,B,None
K703,Beginning With Children Charter School,EMS,B,B,C,C,B,B,B
K704,Explore Charter School,EMS,C,A,C,B,A,A,B
K707,Brooklyn Prospect Charter School,EMS,B,B,A,None,None,None,None
K710,Brownsville Collegiate Charter School,EMS,A,A,A,None,None,None,None
K711,Leadership Preparatory Brownsville Charter School,EMS,C,None,None,None,None,None,None
K712,Excellence Girls Charter School,EMS,A,None,None,None,None,None,None
K722,New Heights Middle School,EMS,None,None,None,None,None,None,None
K726,Fahari Academy Charter School,EMS,F,C,D,None,None,None,None
K730,Summit Academy Charter School,EMS,B,B,C,None,None,None,None
K731,Brooklyn Excelsior Charter,EMS,F,B,B,A,A,A,None
K734,The Ethical Community Charter School (TECCS),EMS,D,None,None,None,None,None,None
K737,Brownsville Ascend Charter School,EMS,C,None,None,None,None,None,None
K740,Brooklyn Scholars Charter School,EMS,D,C,B,None,None,None,None
K742,Explore Empower Charter School,EMS,B,C,None,None,None,None,None
K744,Coney Island Preparatory Public Charter School,EMS,B,A,A,None,None,None,None
K746,Hebrew Language Academy Charter School,EMS,F,None,None,None,None,None,None
K777,Ocean Hill Collegiate Charter School,EMS,A,A,None,None,None,None,None
K780,Brooklyn East Collegiate Charter School,EMS,A,A,None,None,None,None,None
K782,Bedford Stuyvesant New Beginnings Charter School,EMS,C,B,None,None,None,None,None
K791,Brooklyn Dreams Charter School,EMS,B,B,None,None,None,None,None
K797,New Hope Academy Charter School,EMS,D,None,None,None,None,None,None
K821,Sunset Park Prep,EMS,A,A,A,A,A,B,A
M001,P.S. 001 Alfred E. Smith,EMS,B,C,B,B,B,B,C
M002,P.S. 002 Meyer London,EMS,A,A,A,A,A,A,B
M003,P.S. 003 Charrette School,EMS,A,C,C,B,A,B,B
M004,P.S. 004 Duke Ellington,EMS,D,B,B,B,A,B,B
M005,P.S. 005 Ellen Lurie,EMS,C,D,C,B,A,A,B
M006,P.S. 006 Lillie D. Blake,EMS,A,B,A,B,A,B,B
M007,P.S. 007 Samuel Stern,EMS,A,B,C,A,A,B,F
M008,P.S. 008 Luis Belliard,EMS,B,C,B,A,A,A,C
M009,P.S. 009 Sarah Anderson,EMS,A,B,A,B,A,B,A
M011,P.S. 011 William T. Harris,EMS,A,B,A,A,A,B,C
M012,Tag Young Scholars,EMS,A,A,B,A,A,B,B
M013,J.H.S. 013 Jackie Robinson,EMS,None,D,C,C,A,B,F
M015,P.S. 015 Roberto Clemente,EMS,C,C,C,C,B,D,B
M018,P.S. 018 Park Terrace,EMS,C,A,A,B,A,B,B
M019,P.S. 019 Asher Levy,EMS,A,B,B,C,A,B,B
M020,P.S. 020 Anna Silver,EMS,B,C,B,A,A,A,B
M028,P.S. 028 Wright Brothers,EMS,A,B,B,A,A,A,C
M030,P.S. 030 Hernandez/Hughes,EMS,A,C,D,A,A,B,A
M033,P.S. 033 Chelsea Prep,EMS,A,A,B,A,A,A,F
M034,P.S. 034 Franklin D. Roosevelt,EMS,A,A,C,B,A,B,C
M036,P.S. 036 Margaret Douglas,EMS,C,C,C,None,None,None,None
M037,River East Elementary,EMS,B,C,C,B,A,B,B
M038,P.S. 38 Roberto Clemente,EMS,C,B,B,C,A,C,C
M040,P.S. 040 Augustus Saint-Gaudens,EMS,A,B,A,A,A,B,A
M041,P.S. 041 Greenwich Village,EMS,A,B,A,B,A,A,B
M042,P.S. 042 Benjamin Altman,EMS,A,A,A,A,A,A,B
M044,J.H.S. M044 William J. O'Shea,EMS,None,None,None,None,None,D,B
M045,M.S. 45/S.T.A.R.S. Prep Academy,EMS,None,D,C,C,B,B,F
M046,P.S. 046 Arthur Tappan,EMS,B,C,B,C,A,B,A
M047,47 The American Sign Language and English Secondar,EMS,None,None,None,None,None,B,F
M048,P.S. 048 P.O. Michael J. Buczek,EMS,B,B,A,B,A,A,B
M050,P.S. 050 Vito Marcantonio,EMS,A,B,C,C,A,B,C
M051,P.S. 051 Elias Howe,EMS,A,C,B,B,A,A,B
M052,J.H.S. 052 Inwood,EMS,B,B,B,A,A,B,B
M054,J.H.S. 054 Booker T. Washington,EMS,B,B,B,B,A,C,A
M057,James Weldon Johnson,EMS,B,A,A,A,A,A,B
M059,P.S. 059 Beekman Hill International,EMS,A,B,A,B,A,C,B
M063,P.S. 063 William McKinley,EMS,C,B,B,B,B,F,C
M064,P.S. 064 Robert Simon,EMS,C,C,C,C,A,A,C
M065,Democracy Prep Endurance Charter School,EMS,None,None,None,None,None,None,None
M068,KIPP Washington Heights Middle School,EMS,None,None,None,None,None,None,None
M072,The Lexington Academy,EMS,A,A,D,A,A,A,C
M075,P.S. 075 Emily Dickinson,EMS,B,C,C,C,A,B,B
M076,P.S. 076 A. Philip Randolph,EMS,B,C,B,C,A,B,C
M077,P.S. 77 Lower Lab School,EMS,A,B,A,A,A,A,A
M083,P.S. 083 Luis Munoz Rivera,EMS,A,B,A,A,A,A,B
M084,P.S. 084 Lillian Weber,EMS,B,B,F,C,A,B,C
M087,P.S. 087 William Sherman,EMS,A,B,B,B,A,B,B
M089,P.S. 89,EMS,B,B,B,B,A,B,C
M092,P.S. 092 Mary McLeod Bethune,EMS,B,B,B,B,B,B,C
M096,P.S. 096 Joseph Lanzetta,EMS,C,C,B,C,A,B,B
M098,P.S. 098 Shorac Kappock,EMS,B,B,C,B,A,B,C
M101,P.S. 101 Andrew Draper,EMS,None,None,None,None,None,None,F
M102,P.S. 102 Jacques Cartier,EMS,C,B,B,A,B,A,C
M104,J.H.S. 104 Simon Baruch,EMS,A,B,B,B,A,B,B
M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,EMS,B,C,A,B,A,A,A
M110,P.S. 110 Florence Nightingale,EMS,A,D,C,D,B,C,B
M111,P.S. 111 Adolph S. Ochs,EMS,B,C,C,B,A,B,A
M114,East Side Middle School,EMS,A,A,A,A,A,B,A
M115,P.S. 115 Alexander Humboldt,EMS,C,C,C,C,A,B,B
M116,P.S. 116 Mary Lindley Murray,EMS,A,C,C,B,A,C,A
M117,Tito Puente Education Complex,EMS,None,None,None,None,None,None,D
M123,P.S. 123 Mahalia Jackson,EMS,C,C,D,C,A,B,B
M124,P.S. 124 Yung Wing,EMS,A,B,A,A,A,A,A
M125,P.S. 125 Ralph Bunche,EMS,A,C,C,B,A,B,C
M126,P.S. 126 Jacob August Riis,EMS,A,A,A,A,A,A,C
M128,P.S. 128 Audubon,EMS,A,A,B,B,A,A,B
M129,P.S. 129 John H. Finley,EMS,C,B,C,B,A,A,A
M130,P.S. 130 Hernando De Soto,EMS,A,A,A,A,A,A,A
M131,M.S. 131,EMS,A,A,A,B,A,A,B
M132,P.S. 132 Juan Pablo Duarte,EMS,C,D,D,B,A,B,B
M133,P.S. 133 Fred R Moore,EMS,D,F,C,C,A,B,C
M134,P.S. 134 Henrietta Szold,EMS,C,C,C,B,B,B,B
M137,P.S. 137 John L. Bernstein,EMS,C,C,F,C,A,B,B
M140,P.S. 140 Nathan Straus,EMS,A,C,D,B,A,B,B
M142,P.S. 142 Amalia Castro,EMS,C,B,C,B,A,A,C
M143,J.H.S. 143 Eleanor Roosevelt,EMS,C,B,B,B,A,B,C
M145,"P.S. 145, The Bloomingdale School",EMS,F,C,C,B,A,B,B
M146,P.S. 146 Ann M. Short,EMS,A,B,A,C,A,B,C
M149,P.S. 149 Sojourner Truth,EMS,B,F,C,B,A,C,C
M150,P.S. 150,EMS,A,C,C,B,A,A,C
M152,P.S. 152 Dyckman Valley,EMS,F,C,C,B,A,A,B
M153,P.S. 153 Adam Clayton Powell,EMS,B,A,A,A,A,A,A
M154,P.S. 154 Harriet Tubman,EMS,B,C,D,C,A,B,C
M155,P.S. 155 William Paca,EMS,B,C,B,B,A,A,A
M158,P.S. 158 Bayard Taylor,EMS,A,B,B,A,A,B,B
M161,P.S. 161 Pedro Albizu Campos,EMS,B,B,B,B,A,A,B
M163,P.S. 163 Alfred E. Smith,EMS,B,B,C,C,A,B,B
M165,P.S. 165 Robert E. Simon,EMS,A,B,A,B,A,B,A
M166,P.S. 166 The Richard Rodgers School of The Arts an,EMS,B,B,B,D,B,B,C
M167,J.H.S. 167 Robert F. Wagner,EMS,A,B,A,B,A,B,C
M171,P.S. 171 Patrick Henry,EMS,A,A,B,A,A,B,A
M172,Powell M.S. For Law & Social Justicice,EMS,None,None,None,None,None,None,None
M173,P.S. 173,EMS,B,D,B,B,A,C,B
M175,P.S. 175 Henry H Garnet,EMS,C,C,B,B,C,C,B
M180,P.S. 180 Hugo Newman,EMS,B,C,B,C,A,B,A
M182,The Bilingual Bicultural School,EMS,B,A,B,A,A,A,A
M183,P.S. 183 Robert L. Stevenson,EMS,A,B,B,B,A,A,A
M184,P.S. 184m Shuang Wen,EMS,A,A,A,A,A,A,B
M187,P.S./I.S. 187 Hudson Cliffs,EMS,A,C,B,A,A,B,B
M188,P.S. 188 The Island School,EMS,B,A,A,C,A,A,A
M189,P.S. 189,EMS,B,B,A,A,A,B,C
M191,P.S. 191 Amsterdam,EMS,C,C,C,C,A,B,A
M192,P.S. 192 Jacob H. Schiff,EMS,B,B,B,C,A,A,B
M194,P.S. 194 Countee Cullen,EMS,F,B,D,C,A,D,F
M195,I.S. 195 Roberto Clemente,EMS,None,None,None,D,B,B,C
M197,P.S. 197 John B. Russwurm,EMS,C,D,F,B,A,C,B
M198,P.S. 198 Isador E. Ida Straus,EMS,F,D,C,B,B,B,C
M199,P.S. 199 Jessie Isador Straus,EMS,A,B,A,A,A,A,A
M200,P.S. 200- The James Mccune Smith School,EMS,D,D,C,B,A,B,B
M206,P.S. 206 Jose Celso Barbosa,EMS,A,B,D,C,A,B,D
M208,P.S. 208 Alain L. Locke,EMS,D,B,D,C,A,B,B
M210,P.S./I.S. 210 - Twenty-first Century Academy for C,EMS,A,C,C,B,A,A,C
M212,P.S. 212 Midtown West,EMS,A,B,B,A,A,A,A
M217,P.S./I.S. 217 Roosevelt Island,EMS,B,D,D,B,B,C,B
M218,I.S. 218 Salome Urena,EMS,C,A,C,B,A,B,C
M223,The Mott Hall School,EMS,C,C,B,A,A,A,A
M224,M.S. 224 Manhattan East School for Arts & Academic,EMS,B,C,C,C,B,B,C
M225,Ella Baker School,EMS,C,C,C,B,A,C,B
M234,P.S. 234 Independence School,EMS,B,C,A,B,A,A,B
M241,P.S. 241 Family Academy,EMS,C,F,B,C,A,D,B
M242,P.S. M242 - Gwendolyn Powell Brown Computer School,EMS,B,D,B,C,A,C,C
M243,M.S. 243 Center School,EMS,B,A,B,B,A,A,D
M245,M.S. M245 The Computer School,EMS,B,B,B,B,A,A,B
M246,M.S. M246 Crossroads School,EMS,None,None,None,None,None,None,C
M247,M.S. M247 Dual Language Middle School,EMS,A,A,A,A,A,A,A
M250,M.S. 250 West Side Collaborative Middle School,EMS,A,B,B,A,A,A,A
M255,M.S. 255 Salk School of Science,EMS,A,A,A,B,B,B,C
M256,M.S. 256 Academic & Athletic Excellence,EMS,D,B,B,C,A,B,A
M258,Community Action School - MS 258,EMS,B,A,A,A,A,A,A
M260,M.S. 260 Clinton School Writers & Artists,EMS,A,A,B,A,A,A,A
M276,BATTERY PARK CITY SCHOOL,EMS,A,C,A,None,None,None,None
M278,Paula Hedbavny School,EMS,B,A,A,B,A,A,A
M279,The Opportunity Charter School,EMS,B,C,B,C,A,C,None
M284,Harlem Children's Zone/Promise Academy Charter Sch,EMS,C,B,C,B,B,A,A
M286,I.S. M286 Renaissance Military Leadership Academy,EMS,B,A,C,C,A,B,F
M289,I.S. 289,EMS,A,C,B,B,B,A,D
M290,P.S. 290 Manhattan New School,EMS,A,A,A,A,A,A,A
M292,Henry Street School for International Studies,EMS,B,C,C,C,B,C,B
M293,City College Academy of the Arts,EMS,B,A,A,A,A,A,B
M301,"Technology, Arts, and Sciences Studio",EMS,B,B,B,C,A,C,B
M302,KAPPA IV,EMS,B,C,A,B,A,B,A
M311,Amistad Dual Language School,EMS,A,B,A,A,A,B,A
M312,New York City Lab Middle School for Collaborative,EMS,A,A,A,A,A,A,A
M314,Muscota,EMS,B,D,C,B,A,B,F
M315,The East Village Community School,EMS,A,B,C,C,A,B,A
M317,Kappa II,EMS,None,None,None,D,D,C,B
M318,Thurgood Marshall Academy Lower School,EMS,A,C,B,C,B,None,None
M319,M.S. 319 - Maria Teresa,EMS,A,A,A,A,A,A,A
M320,Manhattan Charter School,EMS,C,B,A,B,None,None,None
M321,M.S. 321 - Minerva,EMS,None,None,None,None,None,D,B
M322,Middle School 322,EMS,A,B,C,B,A,A,B
M324,M.S. 324 - Patria Mirabal,EMS,A,A,A,A,A,A,A
M325,P.S. 325,EMS,F,B,C,C,A,B,C
M326,M.S. 326 - Writers Today & Leaders Tomorrow,EMS,C,C,A,A,A,A,C
M328,M.S. 328 - Manhattan Middle School for Scientific,EMS,D,B,B,B,A,B,A
M329,Harlem Link Charter School,EMS,B,A,C,D,F,None,None
M330,Girls Preparatory Charter School of New York,EMS,A,B,C,C,A,None,None
M332,University Neighborhood Middle School,EMS,A,B,C,B,A,B,C
M333,P.S. 333 Manhattan School for Children,EMS,A,C,B,C,B,C,A
M334,The Anderson School,EMS,A,A,A,A,A,A,A
M335,Leadership Village Academy Charter School,EMS,B,B,A,A,A,A,None
M336,Kipp Infinity Charter School,EMS,A,A,A,A,A,A,A
M341,Harlem Children's Zone/Promise Academy II,EMS,C,C,B,C,B,None,None
M344,Academy of Collaborative Education,EMS,None,None,None,F,D,C,None
M345,"Collaborative Academy of Science, Technology, & La",EMS,B,C,B,B,A,B,None
M346,Community Health Academy of the Heights,EMS,C,B,C,C,A,B,None
M347,The 47 American Sign Language & English Lower Scho,EMS,None,C,A,B,A,D,C
M348,Washington Heights Expeditionary Learning School,EMS,A,A,A,B,A,B,None
M349,Harbor Heights,EMS,C,A,A,A,A,C,C
M350,Democracy Prep Charter School,EMS,A,A,A,A,A,A,None
M351,Harlem Success Academy 1 Charter School,EMS,A,A,A,A,None,None,None
M353,New Heights Academy Charter School,EMS,B,B,B,C,A,A,None
M355,Ross Global Academy Charter School,EMS,None,None,None,C,A,B,None
M361,The Children's Workshop School,EMS,B,C,B,C,B,B,B
M362,Columbia Secondary School,EMS,B,C,A,C,A,None,None
M363,Neighborhood School,EMS,C,D,C,C,B,D,B
M364,Earth School,EMS,C,C,C,D,B,A,B
M366,Washington Heights Academy,EMS,A,A,B,B,F,None,None
M367,Academy for Social Action: A College Board School,EMS,None,F,D,B,C,None,None
M368,Hamilton Heights School,EMS,F,C,A,C,A,None,None
M372,ESPERANZA PREPARATORY ACADEMY,EMS,C,B,A,A,None,None,None
M375,Mosaic Preparatory Academy,EMS,B,B,D,B,None,None,None
M377,Renaissance School of the Arts,EMS,A,A,D,A,None,None,None
M378,School for Global Leaders,EMS,A,B,B,B,None,None,None
M381,Global Neighborhood Secondary School,EMS,A,B,B,C,None,None,None
M382,DREAM Charter School,EMS,C,A,None,None,None,None,None
M384,Harlem Success Academy 2 Charter School,EMS,A,A,None,None,None,None,None
M385,Harlem Success Academy 3 Charter School,EMS,A,A,None,None,None,None,None
M386,Harlem Success Academy 4 Charter School,EMS,A,A,None,None,None,None,None
M388,St. HOPE Leadership Academy Charter School,EMS,C,B,C,B,None,None,None
M406,GLOBAL TECHNOLOGY PREPARATORY,EMS,A,B,A,None,None,None,None
M407,Institute for Collaborative Education,EMS,B,C,B,C,B,C,B
M408,Professional Performing Arts High School,EMS,C,B,B,A,B,A,B
M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,EMS,B,C,B,None,None,None,None
M413,School of the Future High School,EMS,A,C,A,B,A,B,B
M415,Wadleigh Secondary School for the Performing & Vis,EMS,D,D,D,C,A,B,B
M421,WEST PREP ACADEMY,EMS,B,C,C,None,None,None,None
M422,Quest to Learn,EMS,B,B,B,None,None,None,None
M430,The Equity Project Charter School (TEP),EMS,A,A,B,None,None,None,None
M442,"Ballet Tech, NYC Public School for Dance",EMS,B,B,B,C,A,B,A
M450,East Side Community School,EMS,A,A,A,A,A,A,A
M469,Choir Academy of Harlem,EMS,None,F,B,C,A,B,C
M478,Inwood Academy for Leadership Charter School,EMS,C,A,None,None,None,None,None
M481,Democracy Preparatory Harlem Charter School,EMS,B,A,None,None,None,None,None
M483,New York French American Charter School,EMS,B,None,None,None,None,None,None
M497,Central Park East I,EMS,B,C,C,C,A,B,D
M499,Frederick Douglass Academy,EMS,F,C,B,C,A,C,A
M509,Marta Valle High School,EMS,None,None,None,None,None,None,D
M514,New Design Middle School,EMS,C,None,None,None,None,None,None
M524,Innovate Manhattan Charter School,EMS,C,None,None,None,None,None,None
M528,I.S. 528 Bea Fuller Rodgers School,EMS,C,C,D,C,A,B,B
M539,"New Explorations into Science, Technology and Math",EMS,A,A,A,A,A,A,B
M610,Young Women's Leadership School,EMS,B,C,B,C,B,C,B
M635,Academy of Environmental Science Secondary High Sc,EMS,None,None,None,None,None,None,F
M655,Life Sciences Secondary School,EMS,C,B,C,C,B,C,D
M670,Thurgood Marshall Academy for Learning and Social,EMS,F,C,D,D,B,F,C
M702,Sisulu-Walker Charter School,EMS,B,C,C,C,A,A,None
M704,Harbor Sciences and Arts Charter School,EMS,B,B,B,C,A,B,None
M705,Amber Charter School,EMS,A,B,B,C,A,F,None
M708,Harlem Day Charter School,EMS,A,A,D,C,A,D,None
M709,Harlem Village Academy Charter School,EMS,C,A,A,B,A,A,None
M726,KIPP S.T.A.R. College Preparatory,EMS,B,B,B,B,A,A,None
M825,Isaac Newton Middle School for Math & Science,EMS,C,C,D,C,A,A,D
M839,Tompkins Square Middle School,EMS,A,A,B,A,A,A,A
M859,Special Music School,EMS,A,A,A,A,None,None,None
M860,Frederick Douglass Academy II Secondary School,EMS,C,B,F,C,A,B,C
M861,Future Leaders Institute Charter School,EMS,B,B,F,D,B,C,B
